Gene	WT	hoD	sir1D	sir2	sir3	sir4DK
SSB1	2925	2166.51	1918.07	2187.54	2077.46	2177.06
SSB2	2396.26	1730.44	1554.72	1854.76	1749.86	1940.21
SSC1	293.555	298.121	287.42	201.957	316.607	287.16
SSD1	101.683	83.7291	84.0695	55.6357	79.8572	62.5277
SSE1	252.446	302.629	289.907	294.765	357.994	315.278
SSE2	32.7775	37.8289	51.433	21.074	50.2585	51.0686
SSF1	17.2013	17.1538	14.6862	34.3821	18.0012	16.4286
SSF2	9.45303	12.403	13.6324	16.2282	9.50177	7.14574
SSH1	331.886	237.994	223.071	240.145	239.442	248.724
SSH4	7.03597	7.52017	8.55467	8.42731	9.10201	9.5689
SSK1	40.209	45.0157	45.4992	32.2179	42.5222	44.322
SSK2	7.06392	6.7261	7.35788	5.52134	5.84975	5.32943
SSK22	9.54653	8.77387	10.575	8.2704	8.07153	7.59766
SSL1	28.4163	27.6497	28.8932	28.979	29.7499	27.9251
SSL2	17.7977	17.1359	17.7764	18.1374	19.8483	17.5671
SSM4	44.5922	32.3467	31.1121	26.9606	39.0626	26.8229
SSN2	5.65752	4.52863	5.16431	3.21658	5.13408	4.14227
SSN3	18.7224	18.5932	18.3063	10.7158	17.2766	16.5083
SSN8	16.4588	18.7091	17.8546	16.7912	19.5537	20.1389
SSO1	176.448	145.419	166.967	149.491	122.43	176.75
SSO2	126.564	113.681	115.573	92.8065	80.8805	110.528
SSP1	2.16886	2.78299	2.72409	4.22093	2.88269	2.71195
SSP120	92.6658	97.7566	106.012	106.641	95.1123	110.871
SSP2	1.20801	1.07712	0.909673	2.20382	1.1874	1.14442
SSQ1	12.59	14.4702	16.5062	12.0474	12.2236	13.3095
SSS1	495.746	510.222	508.241	509.384	421.046	419.904
SST2	16.823	14.2498	29.0841	7.02425	7.52412	6.55
SSU1	32.0239	22.2004	27.5862	16.0601	22.4217	24.4988
SSU72	15.2552	13.602	13.6139	19.8971	13.5694	11.4923
SSY1	18.2821	16.6087	15.4664	12.8585	15.1421	15.4926
SSY5	16.1231	12.662	13.1244	10.4745	11.636	9.27131
SSZ1	273.122	263.356	248.897	281.168	234.949	233.245
STB1	7.70654	6.58761	6.69411	7.20694	7.29674	6.38024
STB2	6.59949	6.42499	6.47324	5.89672	6.74375	6.37216
STB3	28.8486	26.3248	26.7955	18.9783	26.2958	26.0698
STB4	10.1929	9.93782	10.0711	9.72284	10.1655	8.24209
STB5	6.26196	5.59259	5.34583	5.26914	6.25341	5.14157
STB6	4.24218	5.79563	5.94728	5.10481	5.34413	5.54226
STD1	31.6662	37.6541	34.9012	25.0075	33.9648	29.6662
STE11	12.0872	13.0936	13.4526	11.0779	11.2808	10.8816
STE12	9.64627	12.0113	14.0141	3.769	4.8346	3.42655
STE13	18.7189	19.715	22.8821	15.9254	19.2912	19.2022
STE14	75.6421	51.1095	60.3983	23.4776	21.474	17.0328
STE18	82.8182	97.3704	101.711	10.7622	10.7237	5.33317
STE2	327.722	203.55	338.785	5.48291	5.51775	5.79639
